ID,광주 북구 북문대로 168,광주 북구 서강로 160-1,광주 북구 금호로40번길 9,광주 북구 운암동 497,광주 북구 서강로 155,광주 북구 서강로54번길 11,광주 북구 운암동 69-5,광주 북구 서강로54번길 10,광주 북구 운암동 1040-14,광주 북구 운암동 99,광주 북구 운암동 319,광주 북구 운암동 68-2
광주 북구 북문대로 168,0,490.134699591228,1936.53799107054,1635.88655027008,345.374760325997,738.770456546511,1059.40318495228,864.957940159077,277.488540632566,1230.28679772099,560.210520687341,1083.59425607513
광주 북구 서강로 160-1,490.134699591242,0,1608.62359896007,1349.44954442166,173.517454462448,985.372567293304,946.879248052949,1060.6307941511,507.374613581175,1049.64601917459,402.771959025637,1072.41448402896
광주 북구 금호로40번길 9,1936.53799107046,1608.62359896005,0,332.314995620185,1765.18919771605,1723.93730090831,1020.47790002352,1633.79536792279,1716.44039278855,811.92557541168,1376.86562603864,1189.0479237246
광주 북구 운암동 497,1635.88655027023,1349.4495444219,332.31499562021,0,1495.00689930325,1391.6533852465,688.27301785194,1302.17143025537,1403.53884901776,479.611185640245,1076.448759234,860.095627335918
광주 북구 서강로 155,345.374760326119,173.517454462386,1765.18919771602,1495.00689930327,0,951.741626432409,1035.94101287125,1047.49338116959,445.496449007122,1162.29292145517,476.535096218152,1131.21971291247
광주 북구 서강로54번길 11,738.770456546819,985.37256729328,1723.93730090825,1391.65338524646,951.741626432415,0,703.557389387918,147.876948473616,509.013939514349,912.101506178309,670.636099468819,567.839460713148
광주 북구 운암동 69-5,1059.40318495239,946.879248052996,1020.47790002355,688.273017851963,1035.94101287121,703.55738938788,0,621.678243608037,792.942246912743,209.319422036767,559.406232487427,229.939956845214
광주 북구 서강로54번길 10,864.957940159085,1060.63079415108,1633.79536792278,1302.17143025535,1047.49338116919,147.876948473614,621.678243608034,0,616.420972383098,824.677894762245,709.390322182454,453.430853026173
광주 북구 운암동 1040-14,277.488540632253,507.374613581147,1716.44039278871,1403.53884901792,445.496449007005,509.013939514408,792.94224691279,616.420972383295,0,974.230487086007,359.954650481453,806.271674625915
광주 북구 운암동 99,1230.28679772085,1049.64601917444,811.925575411643,479.611185640224,1162.29292145503,912.101506178292,209.319422036733,824.677894762242,974.230487085967,0,695.138317525423,395.817552394434
광주 북구 운암동 319,560.210520687241,402.771959025789,1376.86562603882,1076.44875923392,476.535096217991,670.636099468923,559.40623248739,709.390322182597,359.954650481475,695.138317525145,0,669.762880232105
광주 북구 운암동 68-2,1083.59425607531,1072.41448402875,1189.04792372459,860.095627335923,1131.21971291241,567.839460713137,229.939956845044,453.430853026135,806.271674626185,395.817552394397,669.762880231763,0
